,y,k,r,c,d,b,s,o,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,-1.6720299091783384,-1.471218950695453,-1.418530798185491,-2.060755055883884,-1.4534767149668046,-1.5173410094338338,-1.8096034348227414,-2.004540703357479,-2.305216975361719,-1.4894186141473822,-1.6507930396519308,-1.9729666555222884,-1.778191238826368,-1.3151580445734603,-1.7410799390080611,-2.0268788278024736,-1.7982507258405211,-2.100370545117563,-1.4400382902192714,-1.121368362022177,-2.7642966793369794,-1.364010598076993,-1.52548059777004,-1.6127838567197355,-1.6427071063770617,-1.252403652894825
k,-1.897083798669906,-2.2317850262779837,-1.6847306536773927,-1.1274825602374812,-2.36178874261357,-3.7983743766815614,-1.7735416932338475,-1.8040363856871175,-1.8965531012979087,-2.1513410630623087,-1.6324656585623991,-1.8070945616482932,-2.7136505189616336,-1.8997680500451848,-2.0043213737826426,-1.950490481939019,-1.9648228206428,-2.2217927080030258,-2.4160000493518328,-2.321701969500738,-1.7559712905528484,-1.9794345509629367,-1.617308254576524,-1.7055379099566341,-2.4638929889859074,-1.717666301053823
r,-1.6265918702553865,-1.6195058697683353,-1.5230249856367046,-1.4982819488508843,-1.333322442672124,-1.2986872940631575,-2.0559441190591214,-1.0412830618944218,-1.9530344572503568,-0.8755017759145257,-1.1458771192638033,-0.9931219496464154,-2.101371362451985,-1.9305819974594043,-1.7410799390080611,-1.950490481939019,-1.5100399097795205,-1.832340809556507,-1.1816385386105086,-2.092674635257258,-1.4289358530022602,-0.9634464455788064,-2.010462600697745,-1.6127838567197355,-1.0870879959662128,-1.0108709592058476
c,-1.560056149734406,-1.6731907287311116,-1.7460003104163153,-1.7975136211093026,-1.75277989133028,-1.8393329843604678,-1.5287768252470473,-1.7640423957214573,-2.467944272859419,-1.6021616084126757,-2.102467172159114,-1.2780555076631372,-2.2505399786847855,-1.9996629166027033,-1.7410799390080611,-1.7790943440917177,-1.0491184867219174,-2.509034419181374,-2.2746708965553633,-1.8957332372284568,-1.33867832585087,-2.1421618484606366,-1.4972085037616887,-1.2424273696797865,-1.8484690360999634,-1.3803583355256803
d,-1.572572707156402,-2.139030973041085,-1.589784296532741,-2.3239964906584656,-1.4365099291095618,-2.185590519961826,-1.927702746900736,-1.4299189603764564,-1.9530344572503568,-1.415142722990282,-1.8957070933369806,-1.6873570187258011,-1.7663568694776364,-1.4609765332094395,-1.1696887674465508,-1.6936641487670914,-2.0314754724484865,-2.0503965701557245,-1.9224883784440008,-2.0584605347261564,-1.4625667729946719,-1.570770676899126,-0.9955509921431566,-1.414973347970818,-1.882683136631065,-1.403671328225474
b,-1.2664927187557793,-1.6195058697683353,-1.8064162328879707,-2.132110964419552,-1.646324560415993,-2.135616544999987,-1.5755202287893735,-1.790291742309083,-2.1871176632837246,-1.2719821831419806,-1.689945163614079,-1.6379521625479398,-1.7014160625446217,-1.9305819974594043,-1.5783526415103615,-1.068940172803185,-1.8700365012645992,-1.73088316879773,-2.218189540602915,-1.7287853576126453,-2.1064392605158724,-1.7685811856480436,-1.3513412273118808,-1.4714547039232662,-1.6226899928551746,-1.5257807748149097
s,-1.0887310942490314,-1.137363813673622,-1.248675669608366,-2.0290406427066774,-1.3892574474619355,-1.91756078440077,-1.1950348977774718,-1.260966949461127,-1.5748385067740764,-1.0654141298273214,-1.4120549714583603,-0.6216828329864614,-1.9714118244686343,-1.3730394137066533,-1.460253329432367,-2.0268788278024736,-1.389146941064245,-1.5200298034828368,-1.17679685544469,-1.5143924903758808,-1.0539881935246707,-1.8613352388849422,-1.3108980795243215,-1.414973347970818,-1.7871993793610408,-1.0846571733667663
o,-0.563524578179005,-1.2729709537641754,-1.048536966678668,-0.47444059210811607,-0.8795608130205859,-1.217449401005942,-1.1028080929747661,-1.192651224159947,-1.4448789687907255,-1.6758223728249237,-0.8170745453811727,-2.1998949306679196,-1.088436091808502,-0.8437512733782273,-2.0043213737826426,-1.1279849554041383,-1.1026623418971475,-1.099312579961229,-1.2500484216470313,-0.9506341072290015,-1.680470528243591,-1.2750695147402118,-1.1511515382843884,-1.6127838567197355,-0.6301882210534903,-2.198090191323571
v,-2.7641761323903307,-2.7758530706282594,-2.0268269199920095,-2.3239964906584656,-2.2968479356805553,-2.185590519961826,-2.214174022393792,-1.3493630528269043,-1.9530344572503568,-1.6194389257670678,-2.39303173414493,-2.585245812031937,-2.620896465724735,-2.0818496727900535,-1.3674992761954683,-2.237732193117367,-2.4749443354653877,-2.3909351071033793,-2.218189540602915,-1.9971908779872338,-1.7491533407663802,-1.7685811856480436,-2.0575441608264176,-1.8236372220346286,-2.8898617212581885,-1.6709228975114965
e,-1.364659735483338,-0.6930677003118092,-0.7106312236503285,-1.1050527316855163,-0.8865394497659085,-0.4993031166541518,-0.9399654051737855,-1.8885568094021055,-0.25624137216861254,-1.1571381833789656,-1.0659161701667075,-1.2729878366051246,-0.5778366211990468,-0.815902344639547,-1.5783526415103615,-1.4165463105085214,-1.2299514696066522,-0.8462765874997996,-1.1058788762411815,-0.5789332102406155,-1.1000187394114758,-1.3982246986080946,-1.0299300381950396,-1.3201870285926172,-1.1289368728490554,-2.2509034977524167
