,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,-1.4976834136345516,-2.4739512079301558,-2.527146366419567,-2.7752462597402365,-2.5524654169107945,-3.35430056234536,-2.186893580681414,-2.5380288485098093,-1.5028821168640838,-2.346026805091032,-2.526339277389844,-3.604873770552636,-2.0003946338135266,-2.3224072603208845,-2.2576785748691846,-3.03382569395331,-3.008316226356639,-2.0827853703164503,-3.160168292958512,-2.0661564445864613,-2.0256415648114405,-3.475816413031318,-2.200691671199808,-2.954724790979063,-2.5634810853944106,-2.2517238817991876
k,-2.5390760987927767,-1.9025600363686455,-1.4390102777190155,-1.997095009356593,-2.5524654169107945,-3.35430056234536,-1.564219134155532,-0.8598140657644096,-1.2396406820895025,-1.283235975231576,-2.2630978426152626,-1.280591315254943,-2.263636068588108,-2.1596799628231844,-2.2576785748691846,-2.2556744435696667,-2.4642481820063633,-0.8786653876605253,-2.3820170425748683,-1.9034291470887614,-0.9683621602116455,-1.255708324991263,-1.7097821319945126,-1.3419409342593276,-1.5220884002361856,-1.1434638535452646
r,-1.4976834136345516,-2.100370545117563,-0.8169231919560509,-1.7338535745820114,-1.7743141665271511,-1.6467303862474234,-0.998121289866644,-3.3161800988934527,-1.5028821168640838,-0.8507909153429914,-1.5969203516755512,-0.8482376623067877,-2.263636068588108,-2.5856486950954656,-1.479527324485541,-2.2556744435696667,-1.741144497953625,-1.3046341199328064,-0.995815437174075,-1.785329835010767,-1.3546053666931646,-2.2716964303753935,-2.3698340703001617,-2.954724790979063,-1.2412617906604915,-0.9338958730312401
c,-2.5390760987927767,-2.7371926427047373,-2.1749638483082046,-1.7338535745820114,-2.5524654169107945,-2.576149311961716,-2.130412224728966,-2.2747874137352277,-2.2810333672477277,-2.1541412788521184,-2.526339277389844,-2.2826544758187164,-3.041787318971752,-3.3637999454791094,-1.479527324485541,-2.2556744435696667,-1.3301014436112395,-1.3046341199328064,-2.3820170425748683,-3.1075491297446862,-2.6068514171662827,-2.6976651626476746,-2.487933382378156,-1.913332105820838,-2.5634810853944106,-2.546679729750976
d,-1.760924848409133,-2.023982199254108,-1.53814175072103,-2.7752462597402365,-2.5524654169107945,-3.35430056234536,-1.625924785792937,-1.9012067509226347,-1.5028821168640838,-1.9678308546147512,-3.3044905277734875,-1.5795679052878655,-2.263636068588108,-0.9150936255740294,-1.2162858897109594,-1.8297057112973856,-2.4642481820063633,-1.041392685158225,-2.3820170425748683,-3.1075491297446862,-1.4027314345103579,-1.7276283860251178,-0.9354172567882328,-1.169394955968296,-1.7853298350107671,-1.6700129396438572
b,-1.760924848409133,-1.5563025007672873,-1.6484809787590415,-2.7752462597402365,-2.5524654169107945,-2.576149311961716,-1.4189136261510087,-3.3161800988934527,-1.2396406820895025,-1.59913324843783,-2.526339277389844,-1.5595507917659783,-2.263636068588108,-1.8724382516448366,-1.2162858897109594,-2.2556744435696667,-2.0011376417295157,-2.0827853703164503,-2.3820170425748683,-2.329397879361043,-1.2911434060464888,-1.7682462369333818,-1.2134868694402376,-1.750604808323138,-1.7853298350107671,-1.4208371541444311
o,-1.2168568040588574,-0.5679101712013301,-1.259974638016553,-0.2554182659645177,-0.8593249562354998,-1.161175963990898,-1.0390455646089023,-1.1826411905232352,-2.2810333672477277,-1.6328163616404026,-0.6906487058974184,-2.113512076718363,-0.9414167738541889,-0.8184928290132852,-2.2576785748691846,-0.8694728381688732,-1.4420752030551718,-1.041392685158225,-1.0428969973027478,-1.0247637594282362,-1.2911434060464888,-1.2826918146768564,-1.0677712691984125,-0.9294189257142927,-1.2412617906604915,-1.810726159161787
s,-2.5390760987927767,-2.311223910432456,-2.0685085173939175,-2.7752462597402365,-3.3306166672944384,-2.150180579689435,-1.2719043703897628,-1.7598775981261654,-1.2396406820895025,-1.2884874839822495,-2.2630978426152626,-1.2412617906604915,-3.041787318971752,-2.1596799628231844,-1.2162858897109594,-3.03382569395331,-1.6074905294471131,-2.0827853703164503,-1.8379489982245927,-2.0661564445864613,-1.631994452529038,-2.0608430650605003,-1.9844831889361445,-2.1765735405954194,-1.7853298350107671,-1.3579074389362054
v,-1.4976834136345516,-2.4739512079301558,-2.6898736639172665,-2.7752462597402365,-2.2892239821362135,-2.576149311961716,-2.3282227334778836,-2.5380288485098093,-2.2810333672477277,-2.5801100111243995,-3.3044905277734875,-2.400753787896711,-3.041787318971752,-2.1596799628231844,-2.2576785748691846,-2.2556744435696667,-3.7864674767402824,-2.0827853703164503,-3.160168292958512,-3.1075491297446862,-3.032820149438564,-3.475816413031318,-2.3698340703001617,-2.954724790979063,-1.7853298350107671,-3.0615895453600377
e,-1.047714404958504,-0.8962505624616381,-0.7987925843983384,-1.4530269650063172,-0.6221957671597256,-0.6211032972387903,-1.3702840784785948,-1.0239240275369765,-0.9588140725138082,-1.1896796042311075,-1.0843824397334325,-1.0657976717598592,-0.9773293297448333,-0.8710395564522718,-1.2162858897109594,-1.326255517855374,-0.7970176590735907,-1.3046341199328064,-0.9400602049184569,-0.8620364619305364,-1.2656642833563834,-0.6363383656571198,-0.9794036634068696,-0.7903719351946259,-0.8559109092964743,-1.5052870445927506
g,-1.760924848409133,-1.6957999575465121,-1.6308958039579289,-2.7752462597402365,-2.5524654169107945,-2.576149311961716,-1.5230879934086463,-1.9939608041595334,-2.2810333672477277,-1.1981787890185198,-3.3044905277734875,-1.670375319309068,-2.263636068588108,-1.9488265975082915,-1.479527324485541,-1.8297057112973856,-2.582347494084358,-2.0827853703164503,-3.160168292958512,-2.0661564445864613,-1.746513410595289,-2.0608430650605003,-1.3191413620639743,-1.750604808323138,-1.7853298350107671,-1.4634957412496767
u,-1.760924848409133,-1.18089014193745,-1.473587774206307,-1.7338535745820114,-0.8520501717005949,-1.0732671950976322,-2.0804382497671274,-1.123055500538991,-2.2810333672477277,-1.656816638044169,-0.6134090356505192,-1.2319617675825292,-1.6268139710009337,-1.482986353198318,-0.5501083987712482,-1.0747843016322167,-1.1726256548642133,-2.0827853703164503,-1.3406243574166434,-1.0071785846271235,-2.1482135681406334,-0.9430620340388204,-2.0792695083143453,-1.0202263397354951,-1.5220884002361856,-1.2927497125231788
h,-1.334956116136852,-1.9590413923210936,-2.3162930011046736,-1.5711262770843117,-2.2892239821362135,-2.576149311961716,-1.7841546891276079,-2.1120601162375277,-2.2810333672477277,-1.8570063270716615,-2.526339277389844,-1.7853298350107671,-2.263636068588108,-1.615611918472909,-1.479527324485541,-1.9924330087950852,-2.230164975972995,-2.0827853703164503,-2.3820170425748683,-2.0661564445864613,-1.7856655345574373,-1.6562724774894495,-1.7330119727129873,-2.1765735405954194,-1.5220884002361856,-1.7300702275481563
l,-2.5390760987927767,-2.023982199254108,-2.4090470543415723,-1.4530269650063172,-2.0083973725605193,-2.150180579689435,-1.1455008955231891,-1.9939608041595334,-1.5028821168640838,-1.2938032722811246,-1.8895171798026698,-1.4713348621824183,-2.263636068588108,-1.5784701104683423,-2.2576785748691846,-2.2556744435696667,-2.4642481820063633,-2.0827853703164503,-1.5473844362387765,-2.329397879361043,-1.4473594199300632,-3.475816413031318,-1.9067235300233139,-2.1765735405954194,-1.359361102738486,-1.2541775294664592
q,-1.760924848409133,-3.5153438930883807,-2.527146366419567,-1.997095009356593,-2.5524654169107945,-3.35430056234536,-2.5390760987927767,-2.2747874137352277,-2.2810333672477277,-2.5801100111243995,-3.3044905277734875,-3.604873770552636,-3.041787318971752,-2.3224072603208845,-1.2162858897109594,-3.03382569395331,-3.7864674767402824,-1.041392685158225,-1.9560483103025872,-3.1075491297446862,-3.032820149438564,-3.475816413031318,-2.3698340703001617,-2.954724790979063,-2.5634810853944106,-2.898862247862338
j,-2.5390760987927767,-2.1931245983544616,-2.953115098691848,-1.997095009356593,-2.2892239821362135,-3.35430056234536,-1.8623824891679102,-2.2747874137352277,-2.2810333672477277,-2.289545449138583,-3.3044905277734875,-2.113512076718363,-2.263636068588108,-2.3224072603208845,-2.2576785748691846,-1.2484958589425434,-2.582347494084358,-2.0827853703164503,-1.9560483103025872,-2.329397879361043,-1.991427464280339,-1.9844547191970454,-1.8112397727532896,-1.913332105820838,-1.7853298350107671,-1.3618306316664779
t,-1.4976834136345516,-1.5808454418448132,-1.0917798598069057,-1.7338535745820114,-2.5524654169107945,-3.35430056234536,-1.3183144448176345,-0.6250986067704842,-1.2396406820895025,-1.0413926851582251,-1.8131288339392149,-0.9910319486765665,-0.5930809990666718,-1.2465286498233452,-2.2576785748691846,-3.03382569395331,-1.1942907193444157,-1.3046341199328064,-0.6962753039726047,-2.329397879361043,-0.9621666987704037,-1.1122044331391738,-0.9965716885438834,-1.6325054962451437,-1.7853298350107671,-1.0691565365649525
w,-1.4976834136345516,-2.7371926427047373,-2.953115098691848,-2.7752462597402365,-2.5524654169107945,-2.576149311961716,-2.2518343876144287,-3.3161800988934527,-2.2810333672477277,-3.124178055474675,-3.3044905277734875,-2.826722520168992,-2.263636068588108,-3.3637999454791094,-1.479527324485541,-2.2556744435696667,-3.008316226356639,-2.0827853703164503,-3.160168292958512,-3.1075491297446862,-3.8109713998222077,-3.475816413031318,-3.6920533650340808,-2.954724790979063,-1.5220884002361856,-4.102982230518263
p,-2.5390760987927767,-2.311223910432456,-1.911722413533623,-1.7338535745820114,-2.2892239821362135,-2.576149311961716,-1.5788432256642644,-1.6534222672118786,-1.5028821168640838,-1.7687903974881014,-2.2630978426152626,-1.696388751673986,-3.041787318971752,-2.04158065074519,-2.2576785748691846,-3.03382569395331,-1.3151757656813439,-1.3046341199328064,-3.160168292958512,-1.4947652730249508,-1.8764729485786398,-2.0608430650605003,-1.591682819916518,-2.1765735405954194,-1.7853298350107671,-1.7120471234148837
m,-1.4976834136345516,-1.8525860614068068,-1.8504527567947002,-1.997095009356593,-3.3306166672944384,-2.576149311961716,-1.6428255363311386,-1.9012067509226347,-2.2810333672477277,-1.695503429826469,-3.3044905277734875,-1.7536154218335605,-1.837667336315827,-1.9488265975082915,-1.2162858897109594,-3.03382569395331,-2.3714941287694646,-0.8786653876605253,-1.9560483103025872,-1.6925757817738682,-1.67743249145199,-1.6562724774894495,-2.0792695083143453,-2.1765735405954194,-1.7853298350107671,-1.662073148453045
i,-1.334956116136852,-0.8962505624616381,-0.8169231919560509,-1.162462403020501,-0.7671355819000277,-0.8546134797269559,-1.1510193240528346,-1.109354222861603,-0.7247308664804402,-1.469360014983913,-1.0349775835555712,-1.7853298350107671,-0.9245160233159875,-1.0194076717939986,-2.2576785748691846,-1.5424640001190377,-1.0573026870475124,-1.3046341199328064,-1.1778970599189436,-0.9144245313902247,-1.31821101079537,-0.9559884192555993,-1.1285722796396702,-0.8902668017521445,-0.9007232537128367,-1.098231074927262
z,-2.5390760987927767,-2.100370545117563,-2.4090470543415723,-2.7752462597402365,-2.2892239821362135,-3.35430056234536,-1.6096571730784839,-2.5380288485098093,-2.2810333672477277,-1.2386283804686706,-2.2630978426152626,-1.3126176991961596,-2.263636068588108,-3.3637999454791094,-2.2576785748691846,-3.03382569395331,-0.9285322120208536,-2.0827853703164503,-2.118775607800287,-1.39997895364675,-1.1425854831322073,-1.5673313941526683,-1.6275953758071624,-1.750604808323138,-2.5634810853944106,-1.3738174408254928
n,-1.760924848409133,-1.9025600363686455,-1.7059604838107214,-1.7338535745820114,-3.3306166672944384,-2.3129078771871345,-0.7559768515406965,-1.9012067509226347,-1.2396406820895025,-0.8227862984554128,-2.526339277389844,-0.8259992985498962,-1.837667336315827,-2.3224072603208845,-2.2576785748691846,-3.03382569395331,-2.2951057829060098,-2.0827853703164503,-2.3820170425748683,-2.0661564445864613,-0.8562466088431446,-2.2716964303753935,-1.5130764177409115,-2.1765735405954194,-2.5634810853944106,-1.0611949115465111
x,-1.760924848409133,-2.311223910432456,-3.731266349075492,-2.7752462597402365,-1.717832810574703,-3.35430056234536,-2.3282227334778836,-3.3161800988934527,-2.2810333672477277,-2.289545449138583,-2.100370545117563,-1.8566857435464355,-3.041787318971752,-3.3637999454791094,-1.0535585922132598,-3.03382569395331,-1.1043224003664507,-2.0827853703164503,-2.3820170425748683,-2.0661564445864613,-1.7856655345574373,-3.475816413031318,-2.3698340703001617,-1.6325054962451437,-2.5634810853944106,-2.688008882547445
f,-2.5390760987927767,-2.311223910432456,-2.1184824923557564,-2.7752462597402365,-3.3306166672944384,-2.576149311961716,-1.995008054442501,-1.9939608041595334,-2.2810333672477277,-2.8609366207000937,-2.526339277389844,-2.826722520168992,-3.041787318971752,-3.3637999454791094,-1.479527324485541,-1.9924330087950852,-3.008316226356639,-2.0827853703164503,-2.118775607800287,-3.1075491297446862,-2.3196097059879346,-2.2716964303753935,-1.9844831889361445,-2.954724790979063,-1.1485077374235928,-2.2517238817991876
a,-0.3747232430083396,-0.6696258751217223,-0.7862904406634438,-0.9557023241983679,-0.6716518246300034,-0.3995757713662968,-1.1346700478715073,-0.7708729824276285,-0.7247308664804402,-1.0854254664826586,-0.5633389289217026,-1.085045776776917,-0.5490269299449143,-0.5742192333146838,-2.2576785748691846,-0.25857943421307383,-0.6840337710589462,-1.3046341199328064,-0.5907943833434661,-0.45337258786672574,-0.9842488796532154,-0.7079187970132275,-0.7003843576541324,-0.6736914237313354,-0.654996066515761,-0.9788041750435877
