,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,-1.6127838567197355,-2.4638929889859074,-3.0457140589408676,-2.8294109927999447,-2.920905604164024,-3.198931869932209,-2.45525350289405,-2.8213944130771194,-2.405403283235218,-2.9004012699624035,-3.2177470732627937,-2.312358728119969,-3.1806992012960347,-2.782472624166286,-3.1616674124377355,-3.041787318971752,-2.3234900914911343,-2.3909351071033793,-3.527114111639805,-3.629511534200453,-3.814647069451856,-2.767897616018091,-2.7837736870983245,-2.2372085050255706,-3.074084689028244,-2.272116544141934
k,-1.06871581236946,-0.5293945377423397,-2.6197453266685864,-2.8294109927999447,-3.699056854547668,-2.4207806195485655,-2.745818064879866,-3.8627870982353443,-2.405403283235218,-2.9004012699624035,-2.43959582287915,-3.634578022853888,-2.1393065161378098,-2.519231189391705,-3.1616674124377355,-2.263636068588108,-3.7384634394619525,-2.3909351071033793,-3.527114111639805,-2.4253915515445286,-2.7732543842936312,-1.7265049308598657,-3.047015121872906,-2.2372085050255706,-3.074084689028244,-2.7379567884519074
r,-2.3909351071033793,-1.6857417386022637,-1.460253329432367,-1.5822563779188181,-1.7905718356690181,-0.8746494146345163,-0.9903061799613931,-2.0774572632245776,-2.405403283235218,-0.9428538401805927,-0.9600684983936091,-1.2901857491687774,-3.1806992012960347,-2.1456505265791117,-3.1616674124377355,-2.263636068588108,-1.2527420129803724,-1.1868151244474543,-1.0072861178640864,-2.8513602838168097,-1.1148093435846105,-1.9897463656344472,-1.9739080235374744,-2.2372085050255706,-1.0918134559886754,-0.9351830631599318
c,-2.3909351071033793,-2.4638929889859074,-1.5783526415103615,-2.8294109927999447,-2.494936871891743,-2.4207806195485655,-1.395016452484889,-1.2183485087675059,-2.405403283235218,-1.2745745566766926,-2.43959582287915,-1.3890653550397383,-2.1393065161378098,-1.9478400178301944,-2.1202747272795106,-3.041787318971752,-1.2186354456862336,-1.3495424219451542,-2.32299412898388,-2.8513602838168097,-1.263197071478981,-1.276535922183818,-1.2737163742836746,-2.2372085050255706,-2.2959334386446,-1.2602791025454252
d,-2.3909351071033793,-1.4225003038276822,-1.2316885519286445,-2.1162005493493155,-2.920905604164024,-3.198931869932209,-1.1923974226096168,-1.1897661911064483,-2.405403283235218,-1.3010641369699147,-1.8955277785288744,-1.5342074777363253,-1.689337507461762,-2.0043213737826426,-2.383516162054092,-2.263636068588108,-2.24710174562768,-1.6127838567197355,-2.48572142648158,-2.2145381862296354,-1.2115026968316738,-1.563777633362166,-0.9242533045188807,-1.693140460675295,-1.582722995193971,-1.139671471139209
b,-1.1868151244474543,-1.4225003038276822,-2.0043213737826426,-2.566169558025363,-2.494936871891743,-1.9948118872762843,-1.8103587847446008,-1.8584657244527019,-2.405403283235218,-2.079215387353558,-2.43959582287915,-2.2196046748830702,-1.9765792186401099,-1.7752940395391628,-3.1616674124377355,-3.041787318971752,-2.030893263364016,-2.3909351071033793,-2.7489628612561616,-1.6950130829568855,-1.635670122158687,-1.9897463656344472,-2.0398365372457827,-2.2372085050255706,-3.074084689028244,-1.508491546954887
o,-0.9759617591325612,-1.2597730063299826,-0.8913915446473581,-0.48665942556906105,-0.5983417679745862,-0.6414246680265511,-1.3769558674908167,-1.0986109658450136,-0.9025211663711341,-1.5913036525503894,-0.4967613291090545,-1.971820191172314,-0.5830040153705224,-0.8355293534684608,-1.6053649116704485,-1.4854848182044644,-0.8188624156778415,-2.3909351071033793,-0.5723893206607421,-0.7125314868800711,-1.0978093461523317,-0.8088562236969971,-0.7402327973198336,-0.8818208470389967,-0.8164061141590593,-1.6743636408288822
s,-1.3495424219451542,-2.4638929889859074,-1.6595124535400743,-2.285342948449669,-2.2840835065768497,-1.9948118872762843,-0.8555833985735094,-1.4631133767543063,-1.8613352388849425,-0.8131524021667459,-2.1763543881045684,-1.1348909402354843,-3.1806992012960347,-1.7093655258308547,-2.383516162054092,-1.837667336315827,-2.030893263364016,-1.6127838567197355,-2.7489628612561616,-2.4253915515445286,-0.9597340471440007,-1.563777633362166,-1.2166403386793556,-1.693140460675295,-1.582722995193971,-0.890241792121029
v,-2.3909351071033793,-2.4638929889859074,-2.161107477642937,-2.566169558025363,-2.3768375598137483,-1.9948118872762843,-1.7541701392446318,-1.7624165531177816,-2.1421618484606366,-1.696281287306479,-2.43959582287915,-2.1432163290196153,-3.1806992012960347,-1.7093655258308547,-2.383516162054092,-3.041787318971752,-2.697070754303727,-1.6127838567197355,-2.48572142648158,-2.4253915515445286,-1.789341204187086,-1.563777633362166,-1.8661249799354562,-1.6003864074383962,-2.032692003870019,-1.6076230199569015
e,-1.06871581236946,-0.9725312951516346,-0.7900396153712009,-1.0684861443908116,-0.4375560813493876,-0.774050233301142,-1.470342173688273,-0.8580359426443435,-0.5059475808983684,-1.3794267315368594,-1.398203137720925,-0.5321443171725518,-0.8884431299395587,-0.7371496453796288,-1.7466940644669178,-1.2222433834298831,-0.6680561177218327,-0.7281772754218051,-0.770478003393957,-0.5339934918773025,-1.5945389814118012,-1.9897463656344472,-1.2442413965809305,-0.5156726727908103,-0.729692415343133,-1.6464251040178535
