,y,k,r,c,d,o,s,b,v,e,g,u,h,q,l,j,t,w,p,m,i,z,n,x,f,a
y,-1.5265854063178845,-2.116234050161747,-2.5773785105495337,-2.90885347667723,-3.0641302727910236,-2.8501136974903147,-2.8251720205502946,-1.8231843129499865,-3.842047288509638,-2.7616481671675874,-2.779202811386265,-3.249554099576081,-2.62329852734392,-2.777887961814256,-2.5540004088190753,-3.471438407389299,-2.578206935861897,-1.5620094748986846,-2.643490637631433,-2.952401211903379,-3.6088111908309735,-2.019413041044135,-2.81368857508295,-1.7500306028795956,-2.966219976948217,-2.904814561023982
k,-1.8074120158935787,-0.2517971377453087,-2.7210666831706725,-2.130702226293586,-2.946030960713029,-2.1568770369072383,-2.7397418252256687,-2.6902766466704113,-2.800654603351413,-3.0333887867295815,-3.8205954965444904,-2.628188953052732,-2.7413978394219147,-2.777887961814256,-2.6303887546825298,-2.14921911265538,-2.7507529141529288,-1.680108786976679,-2.567102291767978,-3.163254577218272,-2.4784774223359674,-2.5634810853944106,-2.7487477681499355,-2.0308572124552895,-2.4221519325979415,-2.577095962449888
r,-1.2925022002845166,-1.6575962011360978,-1.4070341432403668,-1.4353665066126613,-1.9238579817618378,-0.9420683814758962,-2.002208425750289,-0.9944766891238991,-1.9335622696309882,-0.9153973873076031,-1.222900310618978,-1.470745325248666,-2.62329852734392,-2.6151606643165564,-1.9280908069975835,-1.6518944718474304,-1.2821894630685315,-1.5620094748986846,-0.9182703070236196,-2.284589189557747,-1.0443423986612692,-2.5634810853944106,-2.5197204339064556,-3.072249897613515,-1.2658047317380172,-0.897776385209172
c,-1.2925022002845166,-1.7640515320503845,-1.448178966992509,-2.232159867052363,-2.6054924237653747,-1.4047392188885126,-1.3854961465505327,-2.2403076379943636,-1.9612336962288466,-1.429914921721262,-2.405622148573672,-1.549795185882521,-2.2379476459799035,-2.262978146205194,-1.8663851553601785,-1.763868231291363,-1.5272126551659124,-2.8842287696326037,-2.0541426118196084,-1.7131980179962363,-1.303818298071565,-1.7288484790583187,-1.4208214992846189,-1.4594660408937794,-1.9590413923210936,-1.405631053207996
d,-1.2925022002845166,-1.828992338983399,-1.2821987239828343,-2.6216117654988818,-2.28597902240738,-1.2007149907213237,-1.3556701627008243,-2.3166959838578185,-2.2857447877423507,-1.4680030108134134,-2.498376201810571,-1.1783417831997316,-2.2827599903962654,-1.9997367114306126,-1.60445302058813,-1.8586545506695638,-2.4290383196290963,-1.680108786976679,-2.445680128882515,-1.5406520397052048,-1.2547027516835725,-1.5220884002361856,-0.919265310073887,-0.9387109892432972,-1.6440006822142978,-1.1296298844117627
o,-1.2925022002845166,-1.6575962011360978,-0.9744019635203434,-0.4501212260683583,-0.6168753115339053,-1.3541828454460687,-0.988105356392289,-0.7674097016317873,-0.6322642736611231,-1.7844564596572943,-0.5626770462304318,-2.0579506743421523,-0.5687584266729597,-2.497061352238562,-0.9586464387084653,-0.7035407913712085,-0.6936622683828615,-1.2714449129128684,-0.6483619089593902,-0.9177419094041223,-1.2879728018134398,-1.177279479993617,-0.7734436369845006,-0.9718793524959519,-0.7777602406499263,-1.5005591969235241
s,-1.2360208443320684,-1.4395404405368804,-1.5304603757709325,-2.067650480546497,-1.9337965042960177,-0.9324962863195256,-1.0099408759809794,-1.6863463530419789,-2.2292634317899025,-0.7801667042709309,-2.264292995777203,-1.3150556483325133,-2.0942594733587643,-2.0710926199662807,-1.8252540146132927,-1.5123970150682056,-1.9226276888074463,-1.680108786976679,-1.8653393872477892,-1.5439003307038959,-0.920688119425325,-1.67887450409648,-1.2291385074344452,-2.0308572124552895,-1.9961832003256603,-0.8995856968744267
b,-1.644684718395879,-1.9053806848468537,-1.9877277772033912,-2.6980001113623366,-2.5606800793490123,-1.7627047050284128,-1.9551754732393711,-1.7726279395075426,-2.6379273058537134,-1.8726723892408543,-2.6164755138885654,-1.8123802891404628,-2.4541561282435667,-2.777887961814256,-2.260032267642581,-2.4300457222310743,-2.381265537833096,-2.1060775192489603,-3.0170713004440257,-1.6463888157204578,-2.237743328559237,-2.300239650619829,-2.890076920946405,-2.0308572124552895,-2.131587370612125,-1.5782479378783756
v,-1.8074120158935787,-1.7640515320503845,-1.9221318268637368,-2.6980001113623366,-2.5200622284407483,-1.7211003753816407,-1.7924481757416715,-2.0240991557307,-2.2292634317899025,-1.6543592994394036,-2.3292338027102177,-1.8196550736753674,-2.2379476459799035,-2.156522815290907,-1.8522375042988863,-1.915135906622012,-2.4290383196290963,-2.1060775192489603,-2.643490637631433,-1.9034815708882895,-1.544353201604055,-2.1375123531221294,-2.1877789732614588,-2.0308572124552895,-2.4221519325979415,-1.5462898948945425
e,-1.029260765509935,-1.219983487700109,-0.8441925521034328,-0.9743550254336619,-0.49769278059595345,-1.5330098268197452,-0.8463565990536934,-0.4785737459796048,-0.5185889216601703,-1.4126192535494617,-1.133959227282197,-0.5645456226313836,-0.9605406956623462,-1.5616020721032968,-0.8355790878048329,-0.7072622749989684,-0.644952050845228,-0.8197707804056854,-0.7309007254149729,-0.617947460752448,-1.7376275825024752,-0.37502134909611995,-1.3407906387203739,-0.8392537872213609,-0.9208969981615596,-1.6286441318914584
g,-1.644684718395879,-2.5422027824340283,-1.8958824802761112,-3.0715807741749295,-2.946030960713029,-1.7835739317713153,-2.2068964849841413,-2.5275493491727112,-3.0638960381259945,-1.773940340972139,-2.0010515610026216,-1.834580751605263,-2.9041251369196144,-2.497061352238562,-1.5000549861875236,-2.2673184247333746,-1.7240502816040781,-2.8842287696326037,-2.7362446908683316,-2.022982286189086,-1.3592052365240637,-2.5634810853944106,-1.5446277854940107,-2.0308572124552895,-2.253009533497588,-1.6819882207148136
u,-1.4338313530809859,-2.278961347659447,-1.6570493783873537,-1.421891967210186,-2.010571680577764,-1.1261065744834375,-1.657983156290233,-1.2907602497634185,-2.6379273058537134,-1.2885857689247928,-0.7501881748043706,-2.2866254109516637,-1.687839247208655,-0.06409206136415627,-1.6456883811723095,-1.0001466963303607,-1.2280860715271504,-1.3928670757983312,-1.7889510413843346,-1.4150665502120716,-2.2534235328443994,-1.7288484790583187,-1.772295889924725,-2.294098647229871,-1.3807592474397163,-1.9261262138014215
h,-1.8074120158935787,-1.9981347380837524,-2.3113655636128447,-1.1416976105950494,-2.776888561612676,-1.9624226253721853,-1.9488537534390922,-2.6902766466704113,-2.800654603351413,-2.138639416505497,-2.157837664862916,-2.5427587577281057,-1.6423217646573507,-3.0411293965888375,-1.0155726318214922,-2.0564650594184815,-2.1845598235794945,-1.5620094748986846,-2.3957061539206768,-2.3630531860915545,-2.971989093243799,-2.300239650619829,-0.8719207513367372,-2.294098647229871,-2.329397879361043,-1.4472951360783362
q,-1.4338313530809859,-2.278961347659447,-1.6251797436201951,-2.90885347667723,-3.4900990050633047,-1.489005397215307,-1.5657235747928524,-2.953518081444993,-2.42707394053882,-1.8292688040736564,-2.6164755138885654,-2.0099134174865787,-2.197329795071639,-2.404307299001663,-1.9809041134264294,-2.0564650594184815,-2.948563422901846,-1.8428360844743787,-1.8794870383090814,-1.834620180881699,-2.0425701675295063,-1.3593611027384858,-2.485506333375354,-2.0308572124552895,-2.7029785421736356,-1.6987872653248428
l,-1.2925022002845166,-1.9981347380837524,-1.8477118835929895,-1.9486206035487172,-2.7119477546796613,-1.4229895714608056,-1.988242769613465,-1.5526923845354668,-2.3506855946753653,-1.2403884153070186,-1.939781904263699,-1.5084741605680199,-2.3327339653581043,-2.497061352238562,-1.5190228252635036,-2.0564650594184815,-1.806029568967006,-1.3928670757983312,-1.7552679281817618,-2.3420686946094267,-1.5055777844440443,-1.9266589878072362,-2.5197204339064556,-2.294098647229871,-2.0368010512339243,-1.2831702579393933
j,-1.644684718395879,-1.9053806848468537,-2.4463656262290407,-3.334822208949511,-2.946030960713029,-1.7959654851268831,-2.308952904938699,-2.409450037094717,-3.842047288509638,-1.9629493533045859,-2.779202811386265,-2.2456238059476488,-2.03703280319919,-2.497061352238562,-2.3826042709717736,-2.0564650594184815,-2.807234270105377,-1.8428360844743787,-2.5021614848349634,-2.7046167281926228,-2.237743328559237,-1.9266589878072362,-2.396565250038573,-1.86812991495759,-2.4221519325979415,-2.1369795791163146
t,-1.644684718395879,-1.828992338983399,-1.1966578324371047,-2.0126029142155915,-2.7119477546796613,-1.417696459238288,-0.8236640520841938,-2.953518081444993,-2.519827993775719,-1.4491559191696055,-1.1207577706772445,-1.3386387750721809,-1.1319368335096476,-1.9680222982534061,-1.1053439476456846,-1.4891671743497308,-1.4285336194190092,-1.2714449129128684,-1.2253168736894657,-1.7278880706056108,-1.1314487283950838,-1.9266589878072362,-0.7937017534270097,-1.3646797215155784,-2.0816133956502867,-1.3640798374833445
w,-2.8488047010518036,-2.5422027824340283,-3.1064175645346896,-3.0715807741749295,-3.4900990050633047,-2.4862244198457017,-3.1657105574979494,-2.953518081444993,-2.519827993775719,-2.8766026828692866,-2.498376201810571,-3.0868268020783813,-2.9041251369196144,-3.0411293965888375,-2.6303887546825298,-2.4300457222310743,-2.1058581960034797,-1.0646848340907353,-3.2803127352186072,-3.5892233094905532,-4.386962441214617,-3.3416323357780544,-3.5268990185335793,-2.0308572124552895,-2.966219976948217,-2.673287539426607
p,-1.5265854063178845,-2.116234050161747,-1.7117991359690845,-2.153932067012061,-2.416991906727873,-1.4693095621959724,-1.2675602197804743,-2.6902766466704113,-2.519827993775719,-1.5543833881353675,-2.498376201810571,-1.4909174254901718,-2.011019370834272,-2.156522815290907,-1.596655782748268,-1.8086805757077251,-1.5147320698208604,-1.680108786976679,-2.0331581203374807,-1.3583488177872867,-1.7731206193385478,-1.634062159680118,-2.4537919201981473,-1.2869200626027477,-2.329397879361043,-1.4154305321823522
m,-0.9679911087710125,-1.828992338983399,-1.356386961655094,-2.048515470106236,-2.150978959791184,-0.9792494703218957,-1.3115491599885984,-1.5824502191732563,-2.056717453498871,-0.9983943442434007,-2.07240746953829,-0.9051618258909704,-1.963246589038271,-2.206496790252746,-1.4315202807772787,-1.9800767135550266,-2.060340713452175,-1.8428360844743787,-2.3102759585960504,-1.553793571306005,-1.2034079075957556,-1.2771743465511358,-2.81368857508295,-2.294098647229871,-2.329397879361043,-1.0802029544241007
i,-1.8074120158935787,-1.1560011770332346,-1.0546221189766973,-1.2203224254558542,-0.9276078778862432,-1.5706113127625076,-1.3556701627008243,-1.2118413380529176,-0.7809719648798462,-1.273556778559673,-1.456983516652346,-1.1586870952032615,-1.572605819107733,-2.3279189531382087,-0.984286779023556,-1.763868231291363,-1.1431671384212696,-0.8197707804056854,-1.3252667204956814,-1.0307147364197768,-1.9382561213095373,-1.0277651154089007,-1.4208214992846189,-0.923030784958135,-0.6702865383036168,-1.4124674016388856
z,-1.644684718395879,-2.278961347659447,-2.937275165434336,-3.0715807741749295,-3.0641302727910236,-2.5709855432741633,-3.4465371670736435,-2.409450037094717,-2.6379273058537134,-2.138639416505497,-2.6164755138885654,-2.505616949723539,-3.167366571694196,-3.8192806469724814,-2.7231428079194284,-2.693287157005656,-3.0413174761387447,-1.8428360844743787,-3.2803127352186072,-2.876012866039924,-1.560239921045625,-2.019413041044135,-2.7487477681499355,-2.294098647229871,-3.7443712273318606,-1.8775511142418508
n,-1.4338313530809859,-1.9981347380837524,-1.6425956490260547,-2.6980001113623366,-2.4829204204361814,-1.1662107899944694,-1.6776973342367847,-2.118885475108901,-2.6379273058537134,-1.0148149124419896,-2.264292995777203,-1.2317621671029348,-2.011019370834272,-2.156522815290907,-2.0000391238666904,-1.354167111733535,-2.3182137920860066,-1.3928670757983312,-2.3102759585960504,-1.911008526745154,-0.8299367188282338,-1.593444308771854,-2.0720541585250687,-2.0308572124552895,-2.4221519325979415,-1.0871281752853235
x,-2.07065345066816,-2.5422027824340283,-2.7210666831706725,-3.0715807741749295,-3.2268575702887237,-2.815899596959213,-3.1657105574979494,-3.7316693318286362,-3.842047288509638,-2.2175801228173118,-2.6164755138885654,-2.5833766086363696,-2.5305444741070215,-3.8192806469724814,-2.4325782459336125,-2.4300457222310743,-4.363536770872664,-2.1060775192489603,-3.0170713004440257,-3.0451552651402776,-1.7892672552891047,-2.5634810853944106,-4.305050268917222,-1.5159473968462276,-3.7443712273318606,-2.730767044478287
f,-1.5265854063178845,-3.3203540328176717,-1.9221318268637368,-2.7907541645992353,-2.6054924237653747,-1.6595523960992888,-1.8012935829695755,-2.5275493491727112,-2.800654603351413,-1.7462689143742804,-2.779202811386265,-1.866065148103239,-2.4541561282435667,-2.3279189531382087,-2.136877083774698,-1.9800767135550266,-2.6153487438664635,-1.680108786976679,-2.7362446908683316,-1.9591345945623473,-2.023350461322473,-3.3416323357780544,-1.9141151618138437,-3.072249897613515,-1.9590413923210936,-1.689374359320062
a,-0.9975463523327286,-1.2558960435907534,-0.6333826766877261,-0.5897474173674533,-0.6072899636708649,-1.2330101862817695,-0.9431179404740927,-0.9017226358870004,-0.6627828241706127,-1.3665453700546366,-0.6500404380232818,-1.0526497168589122,-0.4184037104380345,-1.9107956280938316,-0.7239708243416588,-0.6612058893942151,-0.7126466930163516,-0.9497303183890362,-0.6042290898539853,-0.626144148848726,-0.9427614523504575,-0.9972400620929435,-0.8608492800530633,-0.6556093902752338,-0.5454393573996517,-1.3064402592729827
