,y,k,r,c,d,b,s,o,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,27.2,24.2,98.2,13.2,50.2,38.2,46.2,39.2,3.2,166.2,23.2,17.2,36.2,112.2,2.2,5.2,72.2,8.2,49.2,114.2,6.2,13.2,89.2,5.2,21.2,231.2
k,16.2,4.2,53.2,113.2,6.2,0.2,50.2,62.2,8.2,36.2,24.2,25.2,4.2,29.2,1.2,6.2,49.2,6.2,5.2,7.2,63.2,3.2,72.2,4.2,3.2,79.2
r,30.2,17.2,77.2,48.2,66.2,63.2,26.2,360.2,7.2,683.2,74.2,164.2,17.2,27.2,2.2,6.2,140.2,15.2,89.2,12.2,134.2,33.2,29.2,5.2,76.2,403.2
c,35.2,15.2,46.2,24.2,25.2,18.2,88.2,68.2,2.2,128.2,8.2,85.2,12.2,23.2,2.2,9.2,405.2,3.2,7.2,19.2,165.2,2.2,95.2,12.2,13.2,172.2
d,34.2,5.2,66.2,7.2,52.2,8.2,35.2,147.2,7.2,197.2,13.2,33.2,37.2,80.2,8.2,11.2,42.2,9.2,16.2,13.2,124.2,8.2,302.2,8.2,12.2,163.2
b,69.2,17.2,40.2,11.2,32.2,9.2,79.2,64.2,4.2,274.2,21.2,37.2,43.2,27.2,3.2,47.2,61.2,19.2,8.2,28.2,28.2,5.2,133.2,7.2,22.2,123.2
s,104.2,52.2,145.2,14.2,58.2,15.2,190.2,217.2,17.2,441.2,40.2,386.2,23.2,98.2,4.2,5.2,185.2,31.2,90.2,46.2,318.2,4.2,146.2,8.2,15.2,340.2
o,349.2,38.2,230.2,509.2,188.2,76.2,235.2,254.2,23.2,108.2,158.2,10.2,177.2,332.2,1.2,41.2,358.2,82.2,76.2,169.2,75.2,16.2,211.2,5.2,218.2,26.2
v,2.2,1.2,24.2,7.2,7.2,8.2,18.2,177.2,7.2,123.2,4.2,4.2,5.2,19.2,5.2,3.2,15.2,4.2,8.2,15.2,64.2,5.2,26.2,3.2,1.2,88.2
e,55.2,145.2,501.2,119.2,185.2,398.2,342.2,51.2,358.2,357.2,89.2,86.2,574.2,354.2,3.2,21.2,267.2,147.2,106.2,398.2,286.2,12.2,279.2,10.2,69.2,23.2
g,24.2,7.2,40.2,6.2,18.2,0.2,37.2,60.2,2.2,69.2,11.2,58.2,13.2,12.2,5.2,5.2,44.2,3.2,7.2,15.2,109.2,9.2,368.2,6.2,6.2,97.2
