,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,269.2,78.2,397.2,60.2,122.2,81.2,2143.2,715.2,43.2,637.2,73.2,460.2,132.2,299.2,46.2,37.2,166.2,34.2,61.2,128.2,186.2,76.2,328.2,67.2,45.2,1880.2
k,42.2,225.2,129.2,191.2,41.2,23.2,390.2,181.2,29.2,194.2,35.2,69.2,36.2,92.2,24.2,29.2,53.2,19.2,96.2,44.2,338.2,199.2,133.2,30.2,47.2,409.2
r,158.2,59.2,1351.2,757.2,1029.2,1485.2,6203.2,407.2,38.2,10151.2,1131.2,1402.2,64.2,291.2,35.2,40.2,2364.2,36.2,1687.2,77.2,2521.2,48.2,407.2,32.2,496.2,9997.2
c,393.2,197.2,1050.2,224.2,121.2,90.2,2770.2,2169.2,46.2,3327.2,38.2,1058.2,56.2,741.2,56.2,41.2,2436.2,33.2,160.2,88.2,2725.2,153.2,2441.2,77.2,137.2,4611.2
d,402.2,65.2,1946.2,81.2,264.2,75.2,3845.2,2560.2,62.2,3147.2,113.2,696.2,75.2,772.2,55.2,47.2,158.2,31.2,85.2,162.2,2717.2,133.2,4178.2,219.2,80.2,6327.2
b,204.2,32.2,331.2,75.2,104.2,66.2,1513.2,514.2,27.2,1090.2,54.2,450.2,48.2,616.2,31.2,31.2,198.2,26.2,51.2,632.2,566.2,49.2,380.2,45.2,44.2,2891.2
o,990.2,327.2,4999.2,8089.2,5740.2,843.2,2011.2,3291.2,1246.2,1593.2,2093.2,99.2,2085.2,5445.2,39.2,1478.2,5118.2,112.2,3573.2,3485.2,2371.2,463.2,5769.2,120.2,606.2,815.2
s,448.2,95.2,1156.2,87.2,285.2,97.2,9476.2,1661.2,125.2,13043.2,83.2,1475.2,104.2,862.2,83.2,59.2,366.2,42.2,237.2,633.2,2946.2,122.2,1607.2,37.2,56.2,9849.2
v,205.2,36.2,298.2,49.2,79.2,41.2,1020.2,542.2,33.2,1815.2,22.2,187.2,37.2,665.2,60.2,30.2,134.2,19.2,49.2,110.2,1075.2,48.2,472.2,37.2,42.2,2207.2
e,762.2,421.2,7184.2,2157.2,10785.2,1425.2,2649.2,5433.2,2754.2,3488.2,730.2,9590.2,1390.2,4081.2,117.2,725.2,6525.2,181.2,3229.2,5929.2,5091.2,164.2,3665.2,150.2,1079.2,2799.2
g,118.2,47.2,511.2,50.2,189.2,25.2,663.2,504.2,27.2,1787.2,74.2,546.2,35.2,678.2,30.2,32.2,218.2,34.2,72.2,62.2,1239.2,61.2,1572.2,28.2,38.2,1487.2
u,268.2,96.2,960.2,1545.2,514.2,1293.2,834.2,1638.2,230.2,742.2,1814.2,437.2,316.2,1216.2,7131.2,617.2,1377.2,27.2,1632.2,1572.2,233.2,120.2,927.2,80.2,499.2,1161.2
h,207.2,50.2,288.2,2382.2,145.2,50.2,1251.2,1025.2,43.2,1395.2,98.2,108.2,199.2,273.2,50.2,41.2,489.2,88.2,96.2,88.2,222.2,87.2,532.2,41.2,34.2,1808.2
l,449.2,79.2,1123.2,478.2,172.2,1167.2,3486.2,1083.2,42.2,9146.2,183.2,907.2,58.2,2642.2,64.2,51.2,212.2,35.2,579.2,81.2,1846.2,69.2,1423.2,53.2,190.2,8243.2
q,268.2,24.2,687.2,32.2,84.2,24.2,1695.2,1119.2,29.2,1145.2,45.2,63.2,60.2,241.2,38.2,22.2,61.2,18.2,60.2,45.2,264.2,95.2,416.2,37.2,36.2,1331.2
j,77.2,31.2,169.2,29.2,72.2,49.2,805.2,347.2,38.2,1349.2,25.2,217.2,52.2,121.2,36.2,287.2,78.2,34.2,49.2,60.2,303.2,64.2,221.2,34.2,44.2,4031.2
t,344.2,65.2,2249.2,551.2,91.2,47.2,2592.2,5910.2,38.2,3023.2,318.2,870.2,2329.2,1110.2,73.2,33.2,2604.2,39.2,2336.2,82.2,2428.2,88.2,5241.2,130.2,115.2,3153.2
w,43.2,27.2,47.2,27.2,40.2,24.2,233.2,86.2,28.2,97.2,35.2,33.2,20.2,61.2,18.2,32.2,202.2,46.2,16.2,33.2,44.2,26.2,64.2,27.2,35.2,140.2
p,340.2,50.2,566.2,74.2,134.2,45.2,2258.2,2597.2,80.2,2183.2,67.2,445.2,80.2,878.2,60.2,42.2,2386.2,37.2,190.2,1550.2,839.2,104.2,983.2,148.2,56.2,3138.2
m,503.2,175.2,1736.2,115.2,186.2,49.2,3771.2,1576.2,47.2,3694.2,65.2,570.2,53.2,958.2,48.2,79.2,163.2,34.2,102.2,318.2,1733.2,115.2,1045.2,49.2,88.2,5396.2
i,121.2,441.2,3770.2,3646.2,3081.2,1348.2,556.2,3684.2,2337.2,913.2,863.2,1909.2,718.2,2330.2,33.2,200.2,3334.2,236.2,1148.2,3351.2,904.2,99.2,2759.2,255.2,1124.2,1193.2
z,41.2,21.2,107.2,23.2,33.2,27.2,344.2,29.2,32.2,1004.2,32.2,181.2,32.2,46.2,23.2,26.2,109.2,28.2,38.2,33.2,550.2,131.2,248.2,23.2,22.2,645.2
n,339.2,66.2,861.2,126.2,156.2,131.2,6962.2,965.2,55.2,13283.2,223.2,3962.2,66.2,305.2,69.2,25.2,171.2,58.2,63.2,144.2,4512.2,129.2,559.2,24.2,51.2,8769.2
x,35.2,23.2,65.2,48.2,49.2,23.2,256.2,87.2,19.2,589.2,21.2,65.2,37.2,40.2,26.2,34.2,161.2,26.2,19.2,51.2,123.2,27.2,64.2,56.2,39.2,161.2
f,148.2,47.2,351.2,61.2,77.2,55.2,678.2,580.2,27.2,837.2,51.2,167.2,26.2,364.2,25.2,35.2,77.2,25.2,60.2,73.2,352.2,46.2,534.2,42.2,229.2,1003.2
a,1707.2,292.2,9543.2,4828.2,4840.2,1981.2,2270.2,5006.2,2125.2,2792.2,2061.2,1289.2,3226.2,9038.2,47.2,4762.2,7000.2,131.2,4301.2,5159.2,4135.2,941.2,6097.2,248.2,860.2,4428.2
