,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,2.2,2.2,3.2,0.2,1.2,0.2,7.2,1.2,1.2,7.2,1.2,0.2,2.2,2.2,0.2,0.2,1.2,0.2,0.2,2.2,12.2,0.2,6.2,0.2,0.2,14.2
k,0.2,8.2,39.2,1.2,1.2,0.2,30.2,57.2,2.2,83.2,2.2,42.2,1.2,3.2,0.2,1.2,4.2,3.2,1.2,3.2,139.2,33.2,19.2,8.2,2.2,182.2
r,2.2,5.2,164.2,2.2,7.2,10.2,111.2,0.2,1.2,225.2,10.2,114.2,1.2,1.2,1.2,1.2,22.2,1.2,29.2,4.2,57.2,3.2,4.2,0.2,4.2,295.2
c,0.2,1.2,7.2,2.2,1.2,1.2,8.2,2.2,0.2,11.2,1.2,4.2,0.2,0.2,1.2,1.2,57.2,1.2,1.2,0.2,3.2,1.2,3.2,2.2,0.2,7.2
d,1.2,6.2,31.2,0.2,1.2,0.2,26.2,5.2,1.2,17.2,0.2,21.2,1.2,56.2,2.2,3.2,4.2,2.2,1.2,0.2,51.2,11.2,114.2,12.2,1.2,54.2
b,1.2,18.2,24.2,0.2,1.2,1.2,42.2,0.2,2.2,40.2,1.2,22.2,1.2,6.2,2.2,1.2,12.2,0.2,1.2,1.2,66.2,10.2,60.2,3.2,1.2,96.2
o,4.2,177.2,59.2,66.2,59.2,31.2,101.2,27.2,0.2,37.2,82.2,6.2,25.2,70.2,0.2,29.2,44.2,2.2,26.2,24.2,66.2,31.2,84.2,21.2,4.2,39.2
s,0.2,3.2,9.2,0.2,0.2,3.2,59.2,7.2,2.2,82.2,2.2,46.2,0.2,3.2,2.2,0.2,30.2,0.2,4.2,2.2,30.2,5.2,10.2,1.2,1.2,111.2
v,2.2,2.2,2.2,0.2,2.2,1.2,5.2,1.2,0.2,4.2,0.2,3.2,0.2,3.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,4.2,0.2,1.2,2.2
e,6.2,83.2,171.2,4.2,102.2,108.2,47.2,39.2,4.2,103.2,33.2,69.2,23.2,62.2,2.2,10.2,195.2,1.2,33.2,35.2,70.2,138.2,103.2,29.2,10.2,79.2
