,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
y,1.2,0.2,1.2,1.2,1.2,0.2,8.2,2.2,1.2,3.2,0.2,4.2,0.2,1.2,0.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,2.2,1.2,0.2,15.2
k,4.2,17.2,3.2,1.2,0.2,1.2,4.2,0.2,1.2,3.2,1.2,0.2,2.2,2.2,0.2,1.2,0.2,0.2,0.2,3.2,2.2,2.2,1.2,1.2,0.2,5.2
r,0.2,1.2,46.2,21.2,16.2,42.2,239.2,12.2,1.2,290.2,36.2,44.2,0.2,5.2,0.2,1.2,61.2,3.2,66.2,1.2,100.2,1.2,14.2,1.2,19.2,330.2
c,0.2,0.2,35.2,1.2,3.2,1.2,94.2,88.2,1.2,135.2,1.2,35.2,2.2,8.2,2.2,0.2,66.2,2.2,3.2,1.2,71.2,6.2,71.2,1.2,1.2,156.2
d,0.2,2.2,78.2,6.2,1.2,0.2,150.2,94.2,1.2,127.2,4.2,25.2,6.2,7.2,1.2,1.2,6.2,1.2,2.2,5.2,80.2,3.2,159.2,4.2,6.2,206.2
b,3.2,2.2,13.2,2.2,3.2,3.2,36.2,20.2,1.2,21.2,1.2,5.2,3.2,12.2,0.2,0.2,10.2,0.2,1.2,17.2,30.2,1.2,12.2,1.2,0.2,88.2
o,5.2,3.2,171.2,264.2,252.2,72.2,98.2,116.2,38.2,65.2,105.2,9.2,79.2,106.2,7.2,7.2,166.2,0.2,180.2,165.2,104.2,18.2,243.2,27.2,36.2,60.2
s,2.2,0.2,29.2,4.2,5.2,3.2,326.2,50.2,4.2,391.2,2.2,63.2,0.2,14.2,1.2,3.2,10.2,1.2,1.2,3.2,143.2,3.2,81.2,4.2,6.2,366.2
v,0.2,0.2,9.2,2.2,4.2,3.2,41.2,25.2,2.2,51.2,1.2,6.2,0.2,14.2,1.2,0.2,2.2,1.2,2.2,3.2,21.2,3.2,18.2,5.2,2.2,70.2
e,4.2,6.2,216.2,69.2,365.2,53.2,79.2,202.2,95.2,106.2,13.2,253.2,39.2,133.2,5.2,13.2,235.2,9.2,114.2,249.2,33.2,1.2,76.2,63.2,44.2,64.2
g,1.2,0.2,18.2,1.2,6.2,0.2,41.2,23.2,1.2,52.2,3.2,34.2,1.2,21.2,2.2,1.2,9.2,0.2,0.2,1.2,32.2,1.2,23.2,1.2,0.2,48.2
u,1.2,2.2,25.2,33.2,15.2,14.2,110.2,31.2,0.2,87.2,48.2,11.2,5.2,52.2,249.2,5.2,30.2,1.2,27.2,35.2,7.2,3.2,19.2,15.2,4.2,32.2
h,2.2,2.2,8.2,67.2,1.2,0.2,27.2,31.2,0.2,30.2,1.2,5.2,2.2,4.2,1.2,2.2,4.2,4.2,2.2,2.2,1.2,2.2,48.2,0.2,0.2,46.2
l,3.2,0.2,15.2,11.2,5.2,13.2,125.2,19.2,2.2,127.2,1.2,44.2,1.2,85.2,2.2,1.2,1.2,0.2,11.2,3.2,43.2,0.2,16.2,2.2,2.2,190.2
q,2.2,2.2,21.2,1.2,1.2,2.2,36.2,31.2,0.2,39.2,0.2,8.2,0.2,5.2,1.2,1.2,2.2,2.2,0.2,3.2,27.2,2.2,19.2,0.2,3.2,62.2
j,1.2,1.2,4.2,0.2,0.2,0.2,14.2,13.2,0.2,16.2,1.2,1.2,2.2,4.2,2.2,3.2,1.2,1.2,1.2,2.2,4.2,0.2,9.2,0.2,1.2,141.2
t,1.2,1.2,57.2,14.2,3.2,2.2,67.2,172.2,1.2,79.2,14.2,38.2,61.2,25.2,0.2,0.2,66.2,1.2,67.2,6.2,137.2,1.2,171.2,2.2,7.2,83.2
w,2.2,1.2,2.2,1.2,1.2,1.2,9.2,1.2,0.2,4.2,0.2,0.2,1.2,0.2,0.2,0.2,8.2,6.2,0.2,1.2,2.2,1.2,1.2,1.2,1.2,1.2
p,0.2,1.2,22.2,3.2,3.2,1.2,80.2,108.2,1.2,91.2,1.2,15.2,1.2,14.2,1.2,0.2,62.2,2.2,3.2,62.2,13.2,3.2,39.2,2.2,1.2,108.2
m,1.2,4.2,56.2,5.2,3.2,2.2,161.2,56.2,6.2,145.2,5.2,38.2,3.2,6.2,1.2,1.2,6.2,2.2,2.2,6.2,66.2,3.2,39.2,2.2,1.2,203.2
i,0.2,0.2,136.2,87.2,92.2,25.2,112.2,93.2,56.2,112.2,6.2,54.2,4.2,71.2,1.2,3.2,79.2,6.2,26.2,95.2,48.2,0.2,60.2,8.2,29.2,97.2
z,0.2,0.2,10.2,1.2,0.2,1.2,8.2,0.2,6.2,36.2,1.2,2.2,1.2,1.2,0.2,2.2,0.2,0.2,1.2,0.2,15.2,3.2,7.2,0.2,0.2,24.2
n,1.2,3.2,41.2,5.2,5.2,6.2,271.2,50.2,1.2,337.2,6.2,127.2,1.2,6.2,2.2,0.2,2.2,0.2,2.2,7.2,140.2,6.2,19.2,0.2,2.2,283.2
x,1.2,1.2,3.2,0.2,2.2,1.2,59.2,11.2,1.2,36.2,1.2,5.2,1.2,2.2,1.2,1.2,0.2,0.2,2.2,0.2,24.2,1.2,10.2,2.2,2.2,26.2
f,2.2,1.2,17.2,5.2,1.2,2.2,37.2,20.2,1.2,42.2,1.2,3.2,0.2,7.2,3.2,2.2,2.2,0.2,1.2,0.2,13.2,4.2,25.2,1.2,6.2,37.2
a,7.2,3.2,292.2,200.2,207.2,63.2,102.2,185.2,79.2,114.2,72.2,28.2,83.2,117.2,2.2,167.2,257.2,2.2,154.2,177.2,144.2,44.2,150.2,58.2,59.2,98.2
