,,a,u,c,n,h,o,s,l,q,r,k,e,z,v,t,x,d,f,w,y,i,b,j,g,m,p
a,a,27.2,2.2,0.2,5.2,3.2,0.2,3.2,4.2,0.2,2.2,1.2,0.2,0.2,0.2,3.2,1.2,5.2,3.2,4.2,4.2,2.2,1.2,0.2,0.2,4.2,1.2
a,u,0.2,0.2,0.2,4.2,6.2,0.2,25.2,3.2,0.2,6.2,2.2,0.2,0.2,0.2,13.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,0.2,4.2,1.2,1.2
a,c,19.2,4.2,9.2,0.2,19.2,17.2,0.2,2.2,0.2,1.2,42.2,28.2,0.2,0.2,16.2,0.2,1.2,0.2,0.2,1.2,8.2,1.2,0.2,1.2,2.2,1.2
a,n,47.2,6.2,32.2,25.2,11.2,23.2,25.2,5.2,1.2,6.2,34.2,28.2,0.2,3.2,66.2,2.2,151.2,8.2,10.2,33.2,28.2,10.2,3.2,23.2,3.2,3.2
a,h,26.2,7.2,1.2,1.2,6.2,11.2,0.2,0.2,1.2,1.2,0.2,9.2,1.2,1.2,58.2,1.2,2.2,0.2,0.2,0.2,4.2,0.2,0.2,1.2,0.2,1.2
a,o,0.2,0.2,1.2,1.2,0.2,1.2,11.2,1.2,0.2,4.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,2.2,0.2,0.2,0.2,1.2,1.2
a,s,19.2,5.2,5.2,3.2,24.2,30.2,24.2,2.2,7.2,1.2,14.2,98.2,0.2,1.2,52.2,0.2,2.2,1.2,6.2,3.2,11.2,7.2,0.2,4.2,7.2,11.2
a,l,26.2,8.2,8.2,1.2,12.2,26.2,20.2,93.2,1.2,14.2,22.2,39.2,0.2,3.2,12.2,4.2,7.2,3.2,18.2,8.2,29.2,3.2,3.2,1.2,12.2,3.2
a,q,3.2,7.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
a,r,27.2,6.2,24.2,13.2,6.2,20.2,32.2,7.2,2.2,27.2,13.2,62.2,1.2,2.2,67.2,1.2,17.2,1.2,3.2,7.2,38.2,4.2,0.2,3.2,8.2,7.2
a,k,4.2,5.2,0.2,2.2,2.2,4.2,2.2,1.2,0.2,4.2,0.2,44.2,0.2,0.2,1.2,0.2,0.2,1.2,1.2,0.2,6.2,1.2,0.2,0.2,0.2,0.2
a,e,0.2,1.2,1.2,2.2,1.2,0.2,0.2,8.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2
a,z,5.2,3.2,0.2,0.2,0.2,4.2,1.2,0.2,0.2,0.2,1.2,1.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2,7.2,1.2,0.2,2.2,0.2,0.2
a,v,19.2,0.2,0.2,0.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,52.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,9.2,0.2,0.2,0.2,0.2,0.2
a,t,40.2,8.2,17.2,4.2,28.2,9.2,38.2,4.2,0.2,14.2,1.2,48.2,3.2,1.2,35.2,0.2,7.2,6.2,13.2,6.2,52.2,4.2,4.2,3.2,9.2,8.2
a,x,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,3.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2
a,d,19.2,0.2,4.2,5.2,0.2,12.2,4.2,4.2,0.2,5.2,0.2,40.2,0.2,2.2,8.2,0.2,7.2,1.2,2.2,16.2,18.2,1.2,3.2,1.2,4.2,1.2
